"","month","year","damagecause","county","state","commodity","loss","count","meanloss","acres","lossperacres"
"1","SEP",2013,"Excess Moisture/Precip/Rain","Canyon","ID","ALFALFA SEED",7759,1,7759,100.2,77.4351
"2","JUN",2015,"Excess Moisture/Precip/Rain","Canyon","ID","ALFALFA SEED",32291,1,32291,55,587.1091
"3","JUN",2015,"Hail","Canyon","ID","ALFALFA SEED",16240,1,16240,10,1624
"4","MAY",2015,"Hail","Canyon","ID","ALFALFA SEED",38423,1,38423,28,1372.25
"5","JUN",2015,"Heat","Canyon","ID","ALFALFA SEED",1821,1,1821,34.7,52.4784
"6","AUG",2014,"Wind/Excess Wind","Canyon","ID","ALFALFA SEED",7527,1,7527,55,136.8545
"7","AUG",2004,"Cold Wet Weather","Malheur","OR","ALFALFA SEED",15491,1,15491,153,101.2484
"8","JUN",2009,"Cold Wet Weather","Malheur","OR","ALFALFA SEED",864.6,1,864.6,29.04,29.7727
"9","SEP",2013,"Excess Moisture/Precip/Rain","Malheur","OR","ALFALFA SEED",65687,1,65687,83.8,783.8544
"10","JUL",2015,"Excess Moisture/Precip/Rain","Malheur","OR","ALFALFA SEED",48084,1,48084,62.2,773.0547
"11","JUL",2003,"Heat","Malheur","OR","ALFALFA SEED",802,1,802,33,24.303
"12","JUN",2015,"Insects","Malheur","OR","ALFALFA SEED",171769,1,171769,383.5,447.8983
"13","SEP",2009,"Other (Snow-Lightning-Etc.)","Malheur","OR","ALFALFA SEED",576.4,1,576.4,19.36,29.7727
"14","MAY",2002,"Cold Wet Weather","Grant","WA","ALFALFA SEED",8236.8,1,8236.8,23.82,345.7935
"15","MAY",2013,"Cold Wet Weather","Grant","WA","ALFALFA SEED",3974,1,3974,117.1,33.9368
"16","JUL",2002,"Heat","Grant","WA","ALFALFA SEED",5491.2,1,5491.2,15.88,345.7935
"17","JUL",2003,"Heat","Grant","WA","ALFALFA SEED",13380,1,13380,39.7,337.0277
"18","JUN",2004,"Heat","Grant","WA","ALFALFA SEED",19079,1,19079,79.7,239.3852
"19","JUL",2005,"Heat","Grant","WA","ALFALFA SEED",2601,1,2601,33.4,77.8743
"20","JUL",2008,"Heat","Grant","WA","ALFALFA SEED",402,1,402,36,11.1667
"21","SEP",2013,"Heat","Grant","WA","ALFALFA SEED",14546,1,14546,30,484.8667
"22","JUL",2015,"Heat","Grant","WA","ALFALFA SEED",107536,1,107536,311.6,345.1091
"23","JUN",2015,"Heat","Grant","WA","ALFALFA SEED",48536,1,48536,224.4,216.2923
