"","month","year","damagecause","county","state","commodity","count"
"47","MAY",2001,"Cold Wet Weather","Adams","WA","ADJUSTED GROSS REVENUE",1
"48","DEC",2001,"Decline in Price","Adams","WA","ADJUSTED GROSS REVENUE",1
"49","JAN",2001,"Decline in Price","Adams","WA","ADJUSTED GROSS REVENUE",1
"50","JUN",2002,"Decline in Price","Adams","WA","ADJUSTED GROSS REVENUE",1
"51","OCT",2002,"Decline in Price","Adams","WA","ADJUSTED GROSS REVENUE",1
"52","APR",2003,"Decline in Price","Adams","WA","ADJUSTED GROSS REVENUE",1
"53","AUG",2003,"Decline in Price","Adams","WA","ADJUSTED GROSS REVENUE",1
"54","AUG",2002,"Drought","Adams","WA","ADJUSTED GROSS REVENUE",1
"55","JUL",2003,"Drought","Adams","WA","ADJUSTED GROSS REVENUE",1
"56","SEP",2001,"Excess Moisture/Precip/Rain","Adams","WA","ADJUSTED GROSS REVENUE",1
"58","AUG",2003,"Freeze","Adams","WA","ADJUSTED GROSS REVENUE",1
"59","MAY",2001,"Frost","Adams","WA","ADJUSTED GROSS REVENUE",1
"60","MAY",2002,"Frost","Adams","WA","ADJUSTED GROSS REVENUE",1
"61","JUL",2003,"Frost","Adams","WA","ADJUSTED GROSS REVENUE",1
"63","JUL",2002,"Heat","Adams","WA","ADJUSTED GROSS REVENUE",1
"64","AUG",2003,"Heat","Adams","WA","ADJUSTED GROSS REVENUE",1
"65","SEP",2007,"Heat","Adams","WA","ADJUSTED GROSS REVENUE",1
"66","SEP",2007,"Insects","Adams","WA","ADJUSTED GROSS REVENUE",1
"68","NOV",2001,"Plant Disease","Adams","WA","ADJUSTED GROSS REVENUE",1
"69","APR",2001,"Cold Wet Weather","Benton","WA","ADJUSTED GROSS REVENUE",1
"70","DEC",2001,"Cold Wet Weather","Benton","WA","ADJUSTED GROSS REVENUE",1
"71","JAN",2002,"Cold Wet Weather","Benton","WA","ADJUSTED GROSS REVENUE",1
"72","JUL",2002,"Cold Wet Weather","Benton","WA","ADJUSTED GROSS REVENUE",1
"73","MAR",2003,"Cold Wet Weather","Benton","WA","ADJUSTED GROSS REVENUE",1
"76","APR",2010,"Cold Wet Weather","Benton","WA","ADJUSTED GROSS REVENUE",1
"77","MAY",2010,"Cold Wet Weather","Benton","WA","ADJUSTED GROSS REVENUE",1
"78","JAN",2011,"Cold Wet Weather","Benton","WA","ADJUSTED GROSS REVENUE",1
"79","SEP",2011,"Cold Wet Weather","Benton","WA","ADJUSTED GROSS REVENUE",1
"80","JAN",2002,"Cold Winter","Benton","WA","ADJUSTED GROSS REVENUE",1
"81","JUN",2011,"Cold Winter","Benton","WA","ADJUSTED GROSS REVENUE",1
"82","APR",2002,"Decline in Price","Benton","WA","ADJUSTED GROSS REVENUE",1
"83","MAY",2002,"Decline in Price","Benton","WA","ADJUSTED GROSS REVENUE",1
"84","NOV",2002,"Decline in Price","Benton","WA","ADJUSTED GROSS REVENUE",1
"85","OCT",2002,"Decline in Price","Benton","WA","ADJUSTED GROSS REVENUE",1
"86","OCT",2003,"Decline in Price","Benton","WA","ADJUSTED GROSS REVENUE",1
"87","JAN",2011,"Decline in Price","Benton","WA","ADJUSTED GROSS REVENUE",1
"88","OCT",2012,"Decline in Price","Benton","WA","ADJUSTED GROSS REVENUE",1
"89","OCT",2013,"Decline in Price","Benton","WA","ADJUSTED GROSS REVENUE",1
"90","APR",2014,"Decline in Price","Benton","WA","ADJUSTED GROSS REVENUE",1
"91","FEB",2014,"Decline in Price","Benton","WA","ADJUSTED GROSS REVENUE",1
"92","DEC",2001,"Drought","Benton","WA","ADJUSTED GROSS REVENUE",1
"93","JUN",2001,"Drought","Benton","WA","ADJUSTED GROSS REVENUE",1
"94","JAN",2002,"Drought","Benton","WA","ADJUSTED GROSS REVENUE",1
"95","MAR",2002,"Drought","Benton","WA","ADJUSTED GROSS REVENUE",1
"96","NOV",2002,"Drought","Benton","WA","ADJUSTED GROSS REVENUE",1
"97","SEP",2002,"Drought","Benton","WA","ADJUSTED GROSS REVENUE",1
"98","DEC",2003,"Drought","Benton","WA","ADJUSTED GROSS REVENUE",1
"99","JUL",2002,"Excess Moisture/Precip/Rain","Benton","WA","ADJUSTED GROSS REVENUE",1
"100","JUN",2002,"Excess Moisture/Precip/Rain","Benton","WA","ADJUSTED GROSS REVENUE",1
"102","DEC",2006,"Excess Moisture/Precip/Rain","Benton","WA","ADJUSTED GROSS REVENUE",1
"103","JUN",2006,"Excess Moisture/Precip/Rain","Benton","WA","ADJUSTED GROSS REVENUE",1
"104","MAR",2010,"Excess Moisture/Precip/Rain","Benton","WA","ADJUSTED GROSS REVENUE",1
"105","NOV",2002,"Freeze","Benton","WA","ADJUSTED GROSS REVENUE",1
"106","OCT",2002,"Freeze","Benton","WA","ADJUSTED GROSS REVENUE",1
"107","MAR",2003,"Freeze","Benton","WA","ADJUSTED GROSS REVENUE",1
"108","MAY",2003,"Freeze","Benton","WA","ADJUSTED GROSS REVENUE",1
"109","OCT",2003,"Freeze","Benton","WA","ADJUSTED GROSS REVENUE",1
"111","FEB",2006,"Freeze","Benton","WA","ADJUSTED GROSS REVENUE",1
"112","APR",2007,"Freeze","Benton","WA","ADJUSTED GROSS REVENUE",1
"113","APR",2008,"Freeze","Benton","WA","ADJUSTED GROSS REVENUE",1
"114","MAY",2010,"Freeze","Benton","WA","ADJUSTED GROSS REVENUE",1
"115","JUN",2011,"Freeze","Benton","WA","ADJUSTED GROSS REVENUE",1
"116","NOV",2011,"Freeze","Benton","WA","ADJUSTED GROSS REVENUE",1
"117","NOV",2014,"Freeze","Benton","WA","ADJUSTED GROSS REVENUE",1
"118","APR",2002,"Frost","Benton","WA","ADJUSTED GROSS REVENUE",1
"119","MAR",2002,"Frost","Benton","WA","ADJUSTED GROSS REVENUE",1
"120","APR",2003,"Frost","Benton","WA","ADJUSTED GROSS REVENUE",1
"121","MAR",2003,"Frost","Benton","WA","ADJUSTED GROSS REVENUE",1
"122","OCT",2003,"Frost","Benton","WA","ADJUSTED GROSS REVENUE",1
"123","APR",2007,"Frost","Benton","WA","ADJUSTED GROSS REVENUE",1
"124","MAR",2007,"Frost","Benton","WA","ADJUSTED GROSS REVENUE",1
"125","APR",2008,"Frost","Benton","WA","ADJUSTED GROSS REVENUE",1
"126","MAY",2010,"Frost","Benton","WA","ADJUSTED GROSS REVENUE",1
"127","OCT",2012,"Frost","Benton","WA","ADJUSTED GROSS REVENUE",1
"128","APR",2013,"Frost","Benton","WA","ADJUSTED GROSS REVENUE",1
"129","JUN",2001,"Hail","Benton","WA","ADJUSTED GROSS REVENUE",1
"131","JUN",2006,"Hail","Benton","WA","ADJUSTED GROSS REVENUE",1
"132","MAY",2010,"Hail","Benton","WA","ADJUSTED GROSS REVENUE",1
"133","JAN",2011,"Hail","Benton","WA","ADJUSTED GROSS REVENUE",1
"135","APR",2007,"Heat","Benton","WA","ADJUSTED GROSS REVENUE",1
"136","FEB",2008,"Heat","Benton","WA","ADJUSTED GROSS REVENUE",1
"139","FEB",2007,"Other Causes","Benton","WA","ADJUSTED GROSS REVENUE",1
"140","DEC",2008,"Other Causes","Benton","WA","ADJUSTED GROSS REVENUE",1
"141","FEB",2008,"Other Causes","Benton","WA","ADJUSTED GROSS REVENUE",1
"142","JUL",2009,"Other Causes","Benton","WA","ADJUSTED GROSS REVENUE",1
"143","NOV",2009,"Other Causes","Benton","WA","ADJUSTED GROSS REVENUE",1
"144","JAN",2009,"Wind/Excess Wind","Benton","WA","ADJUSTED GROSS REVENUE",1
"145","MAR",2009,"Wind/Excess Wind","Benton","WA","ADJUSTED GROSS REVENUE",1
"146","MAR",2010,"Wind/Excess Wind","Benton","WA","ADJUSTED GROSS REVENUE",1
"206","DEC",2010,"Decline in Price","Douglas","WA","ADJUSTED GROSS REVENUE",1
"207","JUN",2001,"Excess Moisture/Precip/Rain","Douglas","WA","ADJUSTED GROSS REVENUE",1
"208","MAR",2010,"Freeze","Douglas","WA","ADJUSTED GROSS REVENUE",1
"209","APR",2002,"Frost","Douglas","WA","ADJUSTED GROSS REVENUE",1
"210","SEP",2002,"Frost","Douglas","WA","ADJUSTED GROSS REVENUE",1
"211","APR",2003,"Frost","Douglas","WA","ADJUSTED GROSS REVENUE",1
"212","FEB",2003,"Frost","Douglas","WA","ADJUSTED GROSS REVENUE",1
"213","APR",2008,"Frost","Douglas","WA","ADJUSTED GROSS REVENUE",1
"214","MAY",2010,"Frost","Douglas","WA","ADJUSTED GROSS REVENUE",1
"215","JUN",2010,"Hail","Douglas","WA","ADJUSTED GROSS REVENUE",1
"216","AUG",2001,"Heat","Douglas","WA","ADJUSTED GROSS REVENUE",1
"217","APR",2003,"Heat","Douglas","WA","ADJUSTED GROSS REVENUE",1
"218","AUG",2001,"Insects","Douglas","WA","ADJUSTED GROSS REVENUE",1
"221","FEB",2008,"Other Causes","Douglas","WA","ADJUSTED GROSS REVENUE",1
"222","AUG",2009,"Other Causes","Douglas","WA","ADJUSTED GROSS REVENUE",1
"223","JUL",2009,"Other Causes","Douglas","WA","ADJUSTED GROSS REVENUE",1
"224","APR",2002,"Cold Wet Weather","Franklin","WA","ADJUSTED GROSS REVENUE",1
"227","JUN",2006,"Cold Wet Weather","Franklin","WA","ADJUSTED GROSS REVENUE",1
"228","MAY",2009,"Cold Wet Weather","Franklin","WA","ADJUSTED GROSS REVENUE",1
"229","APR",2010,"Cold Wet Weather","Franklin","WA","ADJUSTED GROSS REVENUE",1
"230","DEC",2010,"Cold Wet Weather","Franklin","WA","ADJUSTED GROSS REVENUE",1
"231","JAN",2010,"Cold Wet Weather","Franklin","WA","ADJUSTED GROSS REVENUE",1
"232","OCT",2010,"Cold Wet Weather","Franklin","WA","ADJUSTED GROSS REVENUE",1
"233","SEP",2010,"Cold Wet Weather","Franklin","WA","ADJUSTED GROSS REVENUE",1
"234","APR",2011,"Cold Wet Weather","Franklin","WA","ADJUSTED GROSS REVENUE",1
"235","NOV",2013,"Cold Wet Weather","Franklin","WA","ADJUSTED GROSS REVENUE",1
"236","MAR",2003,"Cold Winter","Franklin","WA","ADJUSTED GROSS REVENUE",1
"237","DEC",2001,"Decline in Price","Franklin","WA","ADJUSTED GROSS REVENUE",1
"238","JUN",2001,"Decline in Price","Franklin","WA","ADJUSTED GROSS REVENUE",1
"239","OCT",2001,"Decline in Price","Franklin","WA","ADJUSTED GROSS REVENUE",1
"240","MAY",2002,"Decline in Price","Franklin","WA","ADJUSTED GROSS REVENUE",1
"241","AUG",2003,"Decline in Price","Franklin","WA","ADJUSTED GROSS REVENUE",1
"242","JUL",2003,"Decline in Price","Franklin","WA","ADJUSTED GROSS REVENUE",1
"243","MAY",2003,"Decline in Price","Franklin","WA","ADJUSTED GROSS REVENUE",1
"244","JAN",2010,"Decline in Price","Franklin","WA","ADJUSTED GROSS REVENUE",1
"245","JUN",2010,"Decline in Price","Franklin","WA","ADJUSTED GROSS REVENUE",1
"246","JAN",2012,"Decline in Price","Franklin","WA","ADJUSTED GROSS REVENUE",1
"247","NOV",2012,"Decline in Price","Franklin","WA","ADJUSTED GROSS REVENUE",1
"248","AUG",2014,"Decline in Price","Franklin","WA","ADJUSTED GROSS REVENUE",1
"249","FEB",2014,"Decline in Price","Franklin","WA","ADJUSTED GROSS REVENUE",1
"250","JAN",2014,"Decline in Price","Franklin","WA","ADJUSTED GROSS REVENUE",1
"251","OCT",2014,"Decline in Price","Franklin","WA","ADJUSTED GROSS REVENUE",1
"252","FEB",2002,"Drought","Franklin","WA","ADJUSTED GROSS REVENUE",1
"253","MAR",2003,"Excess Moisture/Precip/Rain","Franklin","WA","ADJUSTED GROSS REVENUE",1
"255","JUN",2006,"Excess Moisture/Precip/Rain","Franklin","WA","ADJUSTED GROSS REVENUE",1
"256","JUL",2010,"Excess Moisture/Precip/Rain","Franklin","WA","ADJUSTED GROSS REVENUE",1
"257","MAY",2010,"Excess Moisture/Precip/Rain","Franklin","WA","ADJUSTED GROSS REVENUE",1
"258","DEC",2012,"Excess Moisture/Precip/Rain","Franklin","WA","ADJUSTED GROSS REVENUE",1
"259","JAN",2012,"Excess Moisture/Precip/Rain","Franklin","WA","ADJUSTED GROSS REVENUE",1
"260","NOV",2013,"Excess Moisture/Precip/Rain","Franklin","WA","ADJUSTED GROSS REVENUE",1
"261","OCT",2001,"Freeze","Franklin","WA","ADJUSTED GROSS REVENUE",1
"262","APR",2002,"Freeze","Franklin","WA","ADJUSTED GROSS REVENUE",1
"265","MAY",2007,"Freeze","Franklin","WA","ADJUSTED GROSS REVENUE",1
"266","APR",2008,"Freeze","Franklin","WA","ADJUSTED GROSS REVENUE",1
"267","APR",2011,"Freeze","Franklin","WA","ADJUSTED GROSS REVENUE",1
"268","FEB",2011,"Freeze","Franklin","WA","ADJUSTED GROSS REVENUE",1
"269","APR",2001,"Frost","Franklin","WA","ADJUSTED GROSS REVENUE",1
"270","APR",2002,"Frost","Franklin","WA","ADJUSTED GROSS REVENUE",1
"271","MAY",2002,"Frost","Franklin","WA","ADJUSTED GROSS REVENUE",1
"272","APR",2003,"Frost","Franklin","WA","ADJUSTED GROSS REVENUE",1
"273","FEB",2003,"Frost","Franklin","WA","ADJUSTED GROSS REVENUE",1
"274","MAY",2003,"Frost","Franklin","WA","ADJUSTED GROSS REVENUE",1
"277","JUL",2006,"Frost","Franklin","WA","ADJUSTED GROSS REVENUE",1
"278","APR",2007,"Frost","Franklin","WA","ADJUSTED GROSS REVENUE",1
"279","MAR",2007,"Frost","Franklin","WA","ADJUSTED GROSS REVENUE",1
"280","MAY",2007,"Frost","Franklin","WA","ADJUSTED GROSS REVENUE",1
"281","APR",2008,"Frost","Franklin","WA","ADJUSTED GROSS REVENUE",1
"282","APR",2009,"Frost","Franklin","WA","ADJUSTED GROSS REVENUE",1
"283","FEB",2009,"Frost","Franklin","WA","ADJUSTED GROSS REVENUE",1
"284","MAR",2009,"Frost","Franklin","WA","ADJUSTED GROSS REVENUE",1
"285","MAR",2010,"Frost","Franklin","WA","ADJUSTED GROSS REVENUE",1
"286","SEP",2010,"Frost","Franklin","WA","ADJUSTED GROSS REVENUE",1
"287","FEB",2011,"Frost","Franklin","WA","ADJUSTED GROSS REVENUE",1
"288","DEC",2012,"Frost","Franklin","WA","ADJUSTED GROSS REVENUE",1
"289","MAR",2013,"Frost","Franklin","WA","ADJUSTED GROSS REVENUE",1
"290","JUN",2001,"Hail","Franklin","WA","ADJUSTED GROSS REVENUE",1
"291","JUL",2002,"Hail","Franklin","WA","ADJUSTED GROSS REVENUE",1
"292","JUN",2002,"Hail","Franklin","WA","ADJUSTED GROSS REVENUE",1
"294","MAR",2008,"Hail","Franklin","WA","ADJUSTED GROSS REVENUE",1
"295","JUN",2009,"Hail","Franklin","WA","ADJUSTED GROSS REVENUE",1
"296","MAR",2013,"Hail","Franklin","WA","ADJUSTED GROSS REVENUE",1
"297","JUL",2001,"Heat","Franklin","WA","ADJUSTED GROSS REVENUE",1
"298","AUG",2003,"Heat","Franklin","WA","ADJUSTED GROSS REVENUE",1
"301","SEP",2014,"Heat","Franklin","WA","ADJUSTED GROSS REVENUE",1
"303","MAR",2007,"Hot Wind","Franklin","WA","ADJUSTED GROSS REVENUE",1
"306","OCT",2006,"Other (Snow-Lightning-Etc.)","Franklin","WA","ADJUSTED GROSS REVENUE",1
"309","JAN",2006,"Other Causes","Franklin","WA","ADJUSTED GROSS REVENUE",1
"310","JUL",2007,"Other Causes","Franklin","WA","ADJUSTED GROSS REVENUE",1
"311","APR",2008,"Other Causes","Franklin","WA","ADJUSTED GROSS REVENUE",1
"312","MAR",2008,"Other Causes","Franklin","WA","ADJUSTED GROSS REVENUE",1
"313","FEB",2009,"Other Causes","Franklin","WA","ADJUSTED GROSS REVENUE",1
"314","JUN",2009,"Other Causes","Franklin","WA","ADJUSTED GROSS REVENUE",1
"315","APR",2002,"Wind/Excess Wind","Franklin","WA","ADJUSTED GROSS REVENUE",1
"316","MAR",2009,"Wind/Excess Wind","Franklin","WA","ADJUSTED GROSS REVENUE",1
"317","JUL",2010,"Wind/Excess Wind","Franklin","WA","ADJUSTED GROSS REVENUE",1
"318","MAY",2010,"Wind/Excess Wind","Franklin","WA","ADJUSTED GROSS REVENUE",1
"319","JAN",2012,"Wind/Excess Wind","Franklin","WA","ADJUSTED GROSS REVENUE",1
"320","MAY",2002,"Cold Wet Weather","Grant","WA","ADJUSTED GROSS REVENUE",1
"321","APR",2003,"Cold Wet Weather","Grant","WA","ADJUSTED GROSS REVENUE",1
"322","MAY",2003,"Cold Wet Weather","Grant","WA","ADJUSTED GROSS REVENUE",1
"324","JUN",2006,"Cold Wet Weather","Grant","WA","ADJUSTED GROSS REVENUE",1
"325","APR",2009,"Cold Wet Weather","Grant","WA","ADJUSTED GROSS REVENUE",1
"326","APR",2010,"Cold Wet Weather","Grant","WA","ADJUSTED GROSS REVENUE",1
"327","JUL",2010,"Cold Wet Weather","Grant","WA","ADJUSTED GROSS REVENUE",1
"328","FEB",2013,"Cold Wet Weather","Grant","WA","ADJUSTED GROSS REVENUE",1
"329","NOV",2014,"Cold Wet Weather","Grant","WA","ADJUSTED GROSS REVENUE",1
"330","APR",2001,"Decline in Price","Grant","WA","ADJUSTED GROSS REVENUE",1
"331","OCT",2001,"Decline in Price","Grant","WA","ADJUSTED GROSS REVENUE",1
"332","SEP",2002,"Decline in Price","Grant","WA","ADJUSTED GROSS REVENUE",1
"333","DEC",2003,"Decline in Price","Grant","WA","ADJUSTED GROSS REVENUE",1
"334","OCT",2003,"Decline in Price","Grant","WA","ADJUSTED GROSS REVENUE",1
"335","JUL",2012,"Decline in Price","Grant","WA","ADJUSTED GROSS REVENUE",1
