"","month","year","damagecause","county","state","commodity","loss"
"47","MAY",2001,"Cold Wet Weather","Adams","WA","ADJUSTED GROSS REVENUE",16634
"48","DEC",2001,"Decline in Price","Adams","WA","ADJUSTED GROSS REVENUE",258472
"49","JAN",2001,"Decline in Price","Adams","WA","ADJUSTED GROSS REVENUE",149706
"50","JUN",2002,"Decline in Price","Adams","WA","ADJUSTED GROSS REVENUE",110972.6
"51","OCT",2002,"Decline in Price","Adams","WA","ADJUSTED GROSS REVENUE",102492
"52","APR",2003,"Decline in Price","Adams","WA","ADJUSTED GROSS REVENUE",502577
"53","AUG",2003,"Decline in Price","Adams","WA","ADJUSTED GROSS REVENUE",879418.5
"54","AUG",2002,"Drought","Adams","WA","ADJUSTED GROSS REVENUE",443890.4
"55","JUL",2003,"Drought","Adams","WA","ADJUSTED GROSS REVENUE",254944.8
"56","SEP",2001,"Excess Moisture/Precip/Rain","Adams","WA","ADJUSTED GROSS REVENUE",455528
"58","AUG",2003,"Freeze","Adams","WA","ADJUSTED GROSS REVENUE",293139.5
"59","MAY",2001,"Frost","Adams","WA","ADJUSTED GROSS REVENUE",34033
"60","MAY",2002,"Frost","Adams","WA","ADJUSTED GROSS REVENUE",43976
"61","JUL",2003,"Frost","Adams","WA","ADJUSTED GROSS REVENUE",63736.2
"63","JUL",2002,"Heat","Adams","WA","ADJUSTED GROSS REVENUE",34164
"64","AUG",2003,"Heat","Adams","WA","ADJUSTED GROSS REVENUE",91845
"65","SEP",2007,"Heat","Adams","WA","ADJUSTED GROSS REVENUE",113728.14
"66","SEP",2007,"Insects","Adams","WA","ADJUSTED GROSS REVENUE",278437.86
"68","NOV",2001,"Plant Disease","Adams","WA","ADJUSTED GROSS REVENUE",114613
"69","APR",2001,"Cold Wet Weather","Benton","WA","ADJUSTED GROSS REVENUE",373007
"70","DEC",2001,"Cold Wet Weather","Benton","WA","ADJUSTED GROSS REVENUE",94820
"71","JAN",2002,"Cold Wet Weather","Benton","WA","ADJUSTED GROSS REVENUE",224273
"72","JUL",2002,"Cold Wet Weather","Benton","WA","ADJUSTED GROSS REVENUE",44712
"73","MAR",2003,"Cold Wet Weather","Benton","WA","ADJUSTED GROSS REVENUE",106085
"76","APR",2010,"Cold Wet Weather","Benton","WA","ADJUSTED GROSS REVENUE",55877
"77","MAY",2010,"Cold Wet Weather","Benton","WA","ADJUSTED GROSS REVENUE",16078.8
"78","JAN",2011,"Cold Wet Weather","Benton","WA","ADJUSTED GROSS REVENUE",120411.06
"79","SEP",2011,"Cold Wet Weather","Benton","WA","ADJUSTED GROSS REVENUE",508649
"80","JAN",2002,"Cold Winter","Benton","WA","ADJUSTED GROSS REVENUE",22603
"81","JUN",2011,"Cold Winter","Benton","WA","ADJUSTED GROSS REVENUE",326.6
"82","APR",2002,"Decline in Price","Benton","WA","ADJUSTED GROSS REVENUE",4930.4
"83","MAY",2002,"Decline in Price","Benton","WA","ADJUSTED GROSS REVENUE",5391.21
"84","NOV",2002,"Decline in Price","Benton","WA","ADJUSTED GROSS REVENUE",622732
"85","OCT",2002,"Decline in Price","Benton","WA","ADJUSTED GROSS REVENUE",7647.2
"86","OCT",2003,"Decline in Price","Benton","WA","ADJUSTED GROSS REVENUE",24287.4
"87","JAN",2011,"Decline in Price","Benton","WA","ADJUSTED GROSS REVENUE",268288.12
"88","OCT",2012,"Decline in Price","Benton","WA","ADJUSTED GROSS REVENUE",483
"89","OCT",2013,"Decline in Price","Benton","WA","ADJUSTED GROSS REVENUE",157884
"90","APR",2014,"Decline in Price","Benton","WA","ADJUSTED GROSS REVENUE",27392
"91","FEB",2014,"Decline in Price","Benton","WA","ADJUSTED GROSS REVENUE",669040.7
"92","DEC",2001,"Drought","Benton","WA","ADJUSTED GROSS REVENUE",138871
"93","JUN",2001,"Drought","Benton","WA","ADJUSTED GROSS REVENUE",41933
"94","JAN",2002,"Drought","Benton","WA","ADJUSTED GROSS REVENUE",91851
"95","MAR",2002,"Drought","Benton","WA","ADJUSTED GROSS REVENUE",205040
"96","NOV",2002,"Drought","Benton","WA","ADJUSTED GROSS REVENUE",93064
"97","SEP",2002,"Drought","Benton","WA","ADJUSTED GROSS REVENUE",42689
"98","DEC",2003,"Drought","Benton","WA","ADJUSTED GROSS REVENUE",40663
"99","JUL",2002,"Excess Moisture/Precip/Rain","Benton","WA","ADJUSTED GROSS REVENUE",10071
"100","JUN",2002,"Excess Moisture/Precip/Rain","Benton","WA","ADJUSTED GROSS REVENUE",219378
"102","DEC",2006,"Excess Moisture/Precip/Rain","Benton","WA","ADJUSTED GROSS REVENUE",639668
"103","JUN",2006,"Excess Moisture/Precip/Rain","Benton","WA","ADJUSTED GROSS REVENUE",282667.8
"104","MAR",2010,"Excess Moisture/Precip/Rain","Benton","WA","ADJUSTED GROSS REVENUE",156466
"105","NOV",2002,"Freeze","Benton","WA","ADJUSTED GROSS REVENUE",11095
"106","OCT",2002,"Freeze","Benton","WA","ADJUSTED GROSS REVENUE",9731.2
"107","MAR",2003,"Freeze","Benton","WA","ADJUSTED GROSS REVENUE",61508
"108","MAY",2003,"Freeze","Benton","WA","ADJUSTED GROSS REVENUE",4478
"109","OCT",2003,"Freeze","Benton","WA","ADJUSTED GROSS REVENUE",229313
"111","FEB",2006,"Freeze","Benton","WA","ADJUSTED GROSS REVENUE",50807.2
"112","APR",2007,"Freeze","Benton","WA","ADJUSTED GROSS REVENUE",80219.3
"113","APR",2008,"Freeze","Benton","WA","ADJUSTED GROSS REVENUE",289058
"114","MAY",2010,"Freeze","Benton","WA","ADJUSTED GROSS REVENUE",6721
"115","JUN",2011,"Freeze","Benton","WA","ADJUSTED GROSS REVENUE",2939.4
"116","NOV",2011,"Freeze","Benton","WA","ADJUSTED GROSS REVENUE",63235
"117","NOV",2014,"Freeze","Benton","WA","ADJUSTED GROSS REVENUE",65142.3
"118","APR",2002,"Frost","Benton","WA","ADJUSTED GROSS REVENUE",211258.39
"119","MAR",2002,"Frost","Benton","WA","ADJUSTED GROSS REVENUE",7395.6
"120","APR",2003,"Frost","Benton","WA","ADJUSTED GROSS REVENUE",13617
"121","MAR",2003,"Frost","Benton","WA","ADJUSTED GROSS REVENUE",13428
"122","OCT",2003,"Frost","Benton","WA","ADJUSTED GROSS REVENUE",16191.6
"123","APR",2007,"Frost","Benton","WA","ADJUSTED GROSS REVENUE",69689
"124","MAR",2007,"Frost","Benton","WA","ADJUSTED GROSS REVENUE",77748
"125","APR",2008,"Frost","Benton","WA","ADJUSTED GROSS REVENUE",63806
"126","MAY",2010,"Frost","Benton","WA","ADJUSTED GROSS REVENUE",24118.2
"127","OCT",2012,"Frost","Benton","WA","ADJUSTED GROSS REVENUE",43542
"128","APR",2013,"Frost","Benton","WA","ADJUSTED GROSS REVENUE",881045
"129","JUN",2001,"Hail","Benton","WA","ADJUSTED GROSS REVENUE",241466
"131","JUN",2006,"Hail","Benton","WA","ADJUSTED GROSS REVENUE",164204
"132","MAY",2010,"Hail","Benton","WA","ADJUSTED GROSS REVENUE",1877753
"133","JAN",2011,"Hail","Benton","WA","ADJUSTED GROSS REVENUE",299945.82
"135","APR",2007,"Heat","Benton","WA","ADJUSTED GROSS REVENUE",34379.7
"136","FEB",2008,"Heat","Benton","WA","ADJUSTED GROSS REVENUE",28420.7
"139","FEB",2007,"Other Causes","Benton","WA","ADJUSTED GROSS REVENUE",20864
"140","DEC",2008,"Other Causes","Benton","WA","ADJUSTED GROSS REVENUE",529659
"141","FEB",2008,"Other Causes","Benton","WA","ADJUSTED GROSS REVENUE",801371.3
"142","JUL",2009,"Other Causes","Benton","WA","ADJUSTED GROSS REVENUE",21880
"143","NOV",2009,"Other Causes","Benton","WA","ADJUSTED GROSS REVENUE",752382
